SetID,Number,Variant,Theme,SubTheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,Image,ImageFilename,InstructionsAvailable,EAN,UPC
3183,"6333","1","Town","Vehicles","1998","Race and Chase",2,50,,,,"True","6333-1","",""
3184,"6334","1","Town","Leisure","1996","Wave Jump Racers",4,181,,20,,"True","6334-1","",""
3185,"6335","1","Town","Racing","1996","Indy Transport",3,397,,30,,"True","6335-1","",""
3186,"6336","1","Town","Launch Command","1995","Launch Response Unit",2,185,,16.5,,"True","6336-1","",""
3187,"6337","1","Town","Racing","1996","Fast Track Finish",6,339,,40,,"True","6337-1","",""
3188,"6338","1","Town","Coastguard","1995","Hurricane Harbour",3,364,,49.5,,"True","6338-1","",""
3189,"6339","1","Town","Launch Command","1995","Shuttle Launch Pad",4,564,,66,,"True","6339-1","",""
3191,"6340","1","Town","Fire","1994","Hook & Ladder",2,177,,20,,"True","6340-1","",""
3192,"6341","1","Town","Flight","1994","Gas N' Go Flyer",2,106,,13.25,,"True","6341-1","",""
3193,"6342","1","Town","Coastguard","1993","Beach Rescue Chopper",3,147,,17.5,,"True","6342-1","",""
3194,"6344","1","Town","Police","1993","Jet Speed Justice",2,157,,21,,"True","6344-1","",""
3195,"6345","1","Town","Flight","1993","Aerial Acrobats",6,351,,34,,"True","6345-1","",""
3196,"6346","1","Town","Launch Command","1992","Shuttle Launching Crew",5,408,,38.5,,"True","6346-1","",""
3197,"6347","1","Town","Monorail","1991","Monorail Accessory Track",,54,,35,,"True","6347-1","",""
3198,"6348","1","Town","Police","1994","Surveillance Squad",3,311,,33,,"True","6348-1","",""
3199,"6349","1","Town","Leisure","1988","Holiday Villa",2,205,,,,"True","6349-1","",""
3201,"6350","1","Town","Shops and Services","1994","Pizza To Go",3,152,,15,,"True","6350-1","",""
3202,"6351","1","Town","Leisure","1992","Surf N' Sail Camper",2,188,,19,,"True","6351-1","",""
3203,"6352","1","Town","Vehicles","1991","Cargomaster Crane",1,140,,,,"True","6352-1","",""
3204,"6353","1","Town","Coastguard","1991","Coastal Cutter",2,185,,19,,"True","6353-1","",""
3205,"6354","1","Town","Police","1990","Pursuit Squad",3,171,,15.5,,"True","6354-1","",""
3206,"6355","1","Town","Leisure","1989","Derby Trotter",1,140,,14,,"True","6355-1","",""
3207,"6356","1","Town","Medical","1988","Med-Star Rescue Plane",3,159,,15.5,,"True","6356-1","",""
3208,"6357","1","Town","Vehicles","1988","Stunt 'Copter N' Truck",2,177,,17,,"True","6357-1","",""
3209,"6358","1","Town","Fire","1987","Snorkel Squad",2,153,,13.5,,"True","6358-1","",""
3210,"6359","1","Town","Leisure","1986","Horse Trailer",1,141,,12.75,,"True","6359-1","",""
3212,"6360","1","Town","Leisure","1986","Weekend Cottage",2,113,,12.75,,"True","6360-1","",""
3213,"6361","1","Town","Vehicles","1986","Mobile Crane",1,163,,12.75,,"True","6361-1","",""
3214,"6362","1","Town","Postal","1982","Post Office",1,133,,,,"True","6362-1","",""
3215,"6363","1","Town","Shops and Services","1980","Auto Repair Shop",1,141,,,,"True","6363-1","",""
3216,"6364","1","Town","Medical","1980","Paramedic Unit",2,137,,,,"True","6364-1","",""
3217,"6365","1","Town","Leisure","1981","Summer Cottage",1,144,,,,"True","6365-1","",""
3218,"6366","1","Town","Fire","1984","Fire & Rescue Squad",3,112,,,,"True","6366-1","",""
3219,"6367","1","Town","Vehicles","1984","Semi Truck",1,155,,,,"True","6367-1","",""
3220,"6368","1","Town","Flight","1985","Jet Airliner",2,136,,12.75,,"True","6368-1","",""
3221,"6369","1","Town","Shops and Services","1985","Auto Workshop",1,134,,,,"True","6369-1","",""
3223,"6370","1","Town","Leisure","1985","Weekend Home",2,177,,,,"True","6370-1","",""
3224,"6371","1","Town","Shops and Services","1983","Shell Service Station",3,261,,,,"True","6371-1","",""
3225,"6372","1","Town","Leisure","1982","Town House",2,217,,,,"True","6372-1","",""
3226,"6373","1","Town","Shops and Services","1984","Motorcycle Shop",2,171,,17.5,,"True","6373-1","",""
3227,"6374","1","Town","Leisure","1983","Holiday Home",2,257,,,,"True","6374-1","",""
3229,"6375","1","Town","Flight","1990","Trans Air Carrier",2,208,,,,"True","6375-1","",""
3228,"6375","2","Town","Shops and Services","1980","Exxon Gas Station",3,267,,20,,"True","6375-2","",""
3230,"6376","1","Town","Shops and Services","1990","Breezeway Caf̩",5,183,,23,,"True","6376-1","",""
3231,"6377","1","Town","Flight","1985","Delivery Center",4,305,,25.5,,"True","6377-1","",""
3232,"6378","1","Town","Shops and Services","1986","Shell Service Station",2,291,,25.5,,"True","6378-1","",""
3233,"6379","1","Town","Leisure","1986","Riding Stable",2,275,,26,,"True","6379-1","",""
3235,"6380","1","Town","Medical","1987","Emergency Treatment Center",5,308,,29.75,,"True","6380-1","",""
3236,"6381","1","Town","Racing","1987","Motor Speedway",5,205,,23,,"True","6381-1","",""
3237,"6382","1","Town","Fire","1981","Fire Station",4,390,,25,,"True","6382-1","",""
3238,"6383","1","Town","Maintenance","1981","Public Works Center",4,421,,30,,"True","6383-1","",""
3239,"6384","1","Town","Police","1983","Police Station",4,389,,,,"True","6384-1","",""
3240,"6385","1","Town","Fire","1985","Fire House-I",3,407,,43,,"True","6385-1","",""
3241,"6386","1","Town","Police","1986","Police Command Base",4,381,,,,"True","6386-1","",""
3242,"6387","1","Town","Coastguard","1989","Coastal Rescue Base",4,374,,35,,"True","6387-1","",""
3243,"6388","1","Town","Leisure","1989","Holiday Home with Campervan",4,353,,,,"True","6388-1","",""
3244,"6389","1","Town","Fire","1990","Fire Control Center",4,533,,52,,"True","6389-1","","042884063894"
3246,"6390","1","Town","Shops and Services","1980","Main Street",8,591,,40,,"True","6390-1","",""
3247,"6391","1","Town","Shops and Services","1984","Cargo Center",5,553,,43,,"True","6391-1","",""
3248,"6392","1","Town","Flight","1985","Airport",8,530,,52.75,,"True","6392-1","5702010963928",""
3249,"6393","1","Town","Shops and Services","1987","Big Rig Truck Stop",5,621,,52.75,,"True","6393-1","",""
3250,"6394","1","Town","Shops and Services","1988","Metro Park & Service Tower",6,620,,58.25,,"True","6394-1","",""
3251,"6395","1","Town","Racing","1988","Victory Lap Raceway",13,606,,58.25,,"True","6395-1","",""
3252,"6396","1","Town","Flight","1990","International Jetport",8,541,,69.75,,"True","6396-1","",""
3253,"6397","1","Town","Shops and Services","1992","Gas N' Wash Express",3,470,,52,,"True","6397-1","",""
3254,"6398","1","Town","Police","1993","Central Precinct HQ",5,615,,73,,"True","6398-1","","042884063986"
3255,"6399","1","Town","Monorail","1990","Airport Shuttle",9,767,,140,,"True","6399-1","","042884063993"
3257,"6400","1","Town","Racing","1997","Go-Kart",1,23,,,,"True","6400-1","",""
3258,"6401","1","Town","Paradisa","1992","Seaside Cabana",2,45,,6.75,,"True","6401-1","",""
3259,"6402","1","Town","Paradisa","1994","Sidewalk Caf̩",2,47,,7.25,,"True","6402-1","5702010964024",""
3260,"6403","1","Town","Paradisa","1993","Paradise Playground",3,94,,13.25,,"True","6403-1","",""
3261,"6404","1","Town","Paradisa","1996","Carriage Ride",2,62,,8.75,,"True","6404-1","",""
3262,"6405","1","Town","Paradisa","1992","Sunset Stables",2,133,,16,,"True","6405-1","",""
3263,"6406","1","Town","Racing","1997","Go-Kart",1,23,,2,,"True","6406-1","",""
3264,"6407","1","Town","Fire","1997","Fire Chief",1,26,,5.5,,"True","6407-1","",""
3265,"6409","1","Town","Paradisa","1993","Island Arcade",5,145,,21,,"True","6409-1","",""
3267,"6410","1","Town","Paradisa","1994","Cabana Beach",4,152,,25.5,,"True","6410-1","",""
3268,"6411","1","Town","Paradisa","1992","Sand Dollar Caf̩",5,168,,29.75,,"True","6411-1","",""
3269,"6414","1","Town","Paradisa","1995","Dolphin Point",4,207,,33,,"True","6414-1","",""
3270,"6415","1","Town","Res-Q","1998","Res-Q Jet-Ski",1,18,,,,"True","6415-1","",""
3271,"6416","1","Town","Paradisa","1992","Poolside Paradise",4,229,,38.5,,"True","6416-1","",""
3272,"6417","1","Town","Paradisa","1997","Show Jumping Event",1,36,,4,,"True","6417-1","",""
3273,"6418","1","Town","Paradisa","1996","Country Club",5,280,,42,,"True","6418-1","",""
3274,"6419","1","Town","Paradisa","1992","Rolling Acres Ranch",3,364,,46,,"True","6419-1","",""
3276,"6420","1","Town","Postal","1998","Mail Carrier",1,12,,2,,"True","6420-1","",""
3277,"6422","1","Town","Maintenance","1998","Telephone Repair",1,43,,8.75,,"True","6422-1","",""
3278,"6423","1","Town","City","2000","Mini Tow Truck",1,35,,5,,"True","6423-1","5702012006234",""
3279,"6424","1","Town","Vehicles","1998","Rig Racers",3,101,,20,,"True","6424-1","",""
3280,"6425","1","Town","City","1999","TV Chopper",1,37,,4,,"True","6425-1","",""
3281,"6426","1","Town","Shops and Services","1998","Super Cycle Center",4,137,,30,,"True","6426-1","",""
3282,"6427","1","Town","City","1999","Road Signs",,43,,6,,"True","6427-1","",""
3283,"6428","1","Town","Res-Q","1998","Wave Saver",1,18,,2,,"True","6428-1","",""
3284,"6429","1","Town","City","1999","Blaze Responder",2,45,,13,,"True","6429-1","",""
3286,"6430","1","Town","Police","1991","Night Patroller",1,140,,25,,"True","6430-1","",""
3287,"6431","1","Town","Res-Q","1998","Road Rescue",1,48,,4,,"True","6431-1","",""
3288,"6432","1","Town","City","1999","Speedway Transport",2,134,,22,,"True","6432-1","",""
3289,"6433","1","Town","City","1999","Coast Watch",3,90,,30,,"True","6433-1","",""
3290,"6434","1","Town","City","1999","Roadside Repair",5,210,,50,,"True","6434-1","",""
3291,"6435","1","Town","City","1999","Coast Guard HQ",6,219,,66,,"True","6435-1","",""
3292,"6436","1","Town","City","1999","Go-Kart",1,22,,,,"True","6436-1","",""
3293,"6437","1","Town","City","1999","Beach Buggy",1,28,,3,,"True","6437-1","",""
3294,"6439","1","Town","City","1999","Mini Dumper",1,30,,3,,"True","6439-1","",""
3296,"6440","1","Town","Fire","1991","Jetport Fire Squad",2,159,,27.5,,"True","6440-1","",""
3297,"6441","1","Town","Divers","1997","Deep Sea Refuge",5,449,,60,,"True","6441-1","",""
3298,"6442","1","Town","Divers","1997","Sting Ray Explorer",3,152,,20,,"True","6442-1","5702010964420",""
3299,"6444","1","Town","Leisure","1997","Outback Airstrip",3,167,,20,,"True","6444-1","","042884064440"
3300,"6445","1","Town","Res-Q","1998","Emergency Evac",1,101,,8,,"True","6445-1","",""
3301,"6446","1","Town","City","1999","Crane Truck",1,26,,,,"True","6446-1","",""
3302,"6447","1","Town","City","1999","Dumper",2,49,,,,"True","6447-1","",""
3304,"6450","1","Town","Police","1985","Mobile Police Truck",1,84,,,,"True","6450-1","",""
3305,"6451","1","Town","Res-Q","1998","River Response",3,153,,20,,"True","6451-1","",""
3306,"6452","1","Town","Space Port","1999","Mini Rocket Launcher",1,32,,3,,"True","6452-1","",""
3307,"6453","1","Town","Space Port","1999","Com-Link Cruiser",1,60,,6,,"True","6453-1","",""
3308,"6454","1","Town","Space Port","1999","Countdown Corner",1,133,,20,,"True","6454-1","",""
3309,"6455","1","Town","Space Port","1999","Space Simulation Station",3,245,,30,,"True","6455-1","",""
3310,"6456","1","Town","Space Port","1999","Mission Control",4,494,,80,,"True","6456-1","",""
3311,"6457","1","Town","Space Port","1999","Astronaut Figure",1,18,,2,,"True","6457-1","",""
3312,"6458","1","Town","Space Port","1999","Satellite with Astronaut",1,32,,3,,"True","6458-1","",""
3313,"6459","1","Town","Space Port","1999","Fuel Truck",2,112,,15,,"True","6459-1","",""
6652,"6460","1","Town","Space Port","1999","{unknown}",,16,,,,"True","6460-1","",""
3315,"6461","1","Town","Space Port","1999","Surveillance Chopper",1,30,,,,"True","6461-1","",""
3316,"6462","1","Town","Res-Q","1998","Aerial Recovery",3,194,,25,,"True","6462-1","",""
3317,"6463","1","Town","Space Port","1999","Lunar Rover",1,36,,4,,"True","6463-1","",""
3318,"6464","1","Town","City","1999","Super Rescue Complex",6,334,,76,,"True","6464-1","",""
3319,"6465","1","Town","Space Port","1999","Space Port Jet",1,66,,,,"True","6465-1","",""
3320,"6467","1","Town","City","1999","Power Pitstop",2,66,,10,,"True","6467-1","","042884064679"
3321,"6468","1","Town","City","1999","Tow and Go Value Pack",2,50,,7,,"True","6468-1","",""
3322,"6469","1","Town","Bonus/Value Pack","1999","Space Port Value Pack",,130,,10,,"True","6469-1","",""
3323,"6470","1","Town","City","2000","Mini Dump Truck",1,25,,3,,"True","6470-1","",""
3324,"6471","1","Town","City","2000","4WD Police Patrol",1,30,,5,,"True","6471-1","",""
3325,"6472","1","Town","City","2001","Gas N' Wash Express",3,470,,50,,"True","6472-1","",""
3326,"6473","1","Town","Res-Q","1998","Res-Q Cruiser",3,305,,35,,"True","6473-1","",""
3327,"6474","1","Town","City","2000","4-Wheeled Front Shovel",1,52,,7,,"True","6474-1","",""
3328,"6477","1","Town","City","2000","Fire Fighters' Lift Truck",3,114,,20,,"True","6477-1","5702012006272",""
3329,"6478","1","Town","City","2000","Fire Fighters' HQ",4,237,,50,,"True","6478-1","",""
3330,"6479","1","Town","Res-Q","1998","Emergency Response Center",5,423,,60,,"True","6479-1","",""
3331,"6480","1","Town","Fire","1985","Hook and Ladder Truck",1,118,,20,,"True","6480-1","",""
3332,"6481","1","Town","Construction","1989","Construction Crew",2,169,,27,,"True","6481-1","",""
3333,"6482","1","Town","Rescue","1989","Rescue Helicopter",3,198,,35,,"True","6482-1","",""
3334,"6483","1","Town","Police","1994","Coastal Patrol",3,243,,48,,"True","6483-1","",""
3335,"6484","1","Town","Rescue","1995","F1 Hauler",3,269,,49.5,,"True","6484-1","",""
3336,"6486","1","Town","Fire","1997","Fire Engine",1,66,,10,,"True","6486-1","",""
3337,"6487","1","Town","Flight","1997","Mountain Rescue",1,68,,6,,"True","6487-1","",""
3338,"6489","1","Town","Paradisa","1997","Seaside Holiday Cottage",2,86,,13.25,,"True","6489-1","",""
3339,"6490","1","Town","Leisure","1997","Amazon Crossing",1,116,,15,,"True","6490-1","5702010964901",""
3340,"6491","1","Time Cruisers","","1996","Rocket Racer",1,58,,4.5,,"True","6491-1","",""
3341,"6492","1","Time Cruisers","","1996","Hypno Cruiser",2,157,,22,,"True","6492-1","",""
3342,"6493","1","Time Cruisers","","1996","Flying Time Vessel",2,237,,44,,"True","6493-1","",""
3343,"6494","1","Time Cruisers","","1996","Magic Mountain Time Lab",4,504,,64,,"True","6494-1","",""
3344,"6495","1","Time Cruisers","","1997","Time Tunnelator",1,81,,10,,"True","6495-1","",""
3345,"6496","1","Time Cruisers","","1997","Whirling Time Warper",2,152,,22,,"True","6496-1","",""
3346,"6497","1","Time Cruisers","","1997","Twisted Time Train",4,300,,38.5,,"True","6497-1","",""
3347,"6498","1","Town","City","1999","Go-Kart",1,22,,2,,"True","6498-1","",""
3348,"6499","1","Time Cruisers","","1997","Time Tunnelator",1,81,,10,,"True","6499-1","",""
3349,"6500","1","Town","Shops and Services","1996","Holiday Village",,,,,,"True","6500-1","",""
3350,"6501","1","Town","Vehicles","1987","Sport Convertible",1,30,,,,"True","6501-1","",""
3351,"6502","1","Town","Racing","1987","Turbo Racer",1,24,,,,"True","6502-1","",""
3352,"6503","1","Town","Racing","1988","Sprint Racer",1,32,,,,"True","6503-1","",""
3353,"6504","1","Town","Construction","1988","Tractor",1,25,,,,"True","6504-1","",""
3354,"6505","1","Town","Fire","1988","Fire Chief's Car",1,29,,,,"True","6505-1","",""
3355,"6506","1","Town","Police","1989","Precinct Cruiser",1,32,,2,,"True","6506-1","",""
3357,"6507","1","Town","Construction","1989","Mini Dumper",1,30,,,,"True","6507-1","",""
3359,"6508","1","Town","Boats","1990","Wave Racer",1,37,,3,,"True","6508-1","",""
3361,"6509","1","Town","Racing","1991","Red Devil Racer",1,39,,,,"True","6509-1","",""
3362,"6510","1","Town","Vehicles","1991","Mud Runner",1,34,,3.25,,"True","6510-1","",""
3363,"6511","1","Town","Fire","1992","Rescue Runabout",1,38,,7,,"True","6511-1","",""
3365,"6512","1","Town","Construction","1992","Landscape Loader",1,37,,3.25,,"True","6512-1","",""
3366,"6513","1","Town","Boats","1993","Glade Runner",1,31,,3.25,,"True","6513-1","",""
3367,"6514","1","Town","Vehicles","1994","Trail Ranger",1,36,,3.25,,"True","6514-1","",""
3369,"6515","1","Town","Flight","1994","Stunt Copter",1,35,,3.25,,"True","6515-1","",""
3370,"6516","1","Town","Launch Command","1995","Moon Walker",1,34,,3,,"True","6516-1","",""
3371,"6517","1","Town","Leisure","1996","Water Jet",1,29,,3,,"True","6517-1","",""
3372,"6518","1","Town","Coastguard","1996","Baja Buggy",1,37,,3.5,,"True","6518-1","",""
3374,"6519","1","Town","Race","2000","Turbo Tiger",1,47,,5,,"True","6519-1","",""
3375,"6520","1","Town","Arctic","2000","Mobile Outpost",2,218,,30,,"True","6520-1","",""
3376,"6521","1","Town","Maintenance","1987","Emergency Repair Truck",1,58,,,,"True","6521-1","",""
3377,"6522","1","Town","Police","1987","Highway Patrol",2,30,,,,"True","6522-1","",""
3379,"6523","1","Town","Medical","1987","Red Cross",1,51,,,,"True","6523-1","",""
3380,"6524","1","Town","Maintenance","1988","Blizzard Blazer",1,50,,4,,"True","6524-1","",""
3381,"6525","1","Town","Fire","1995","Blaze Commander",1,50,,4.5,,"True","6525-1","",""
3382,"6526","1","Town","Racing","1989","Red Line Racer",1,47,,4,,"True","6526-1","",""
3383,"6527","1","Town","Construction","1989","Tipper Truck",1,43,,,,"True","6527-1","",""
3384,"6528","1","Town","Vehicles","1989","Sand Storm Racer",1,39,,3.75,,"True","6528-1","",""
3385,"6529","1","Town","Flight","1990","Ultra Lite I",2,35,,4,,"True","6529-1","",""
3389,"6530","1","Town","Vehicles","1990","Sport Coupe",1,43,,,,"True","6530-1","5702010965304",""
3390,"6531","1","Town","Fire","1991","Flame Chaser",1,55,,,,"True","6531-1","",""
3391,"6532","1","Town","Construction","1991","Diesel Dumper",1,46,,,,"True","6532-1","",""
3392,"6533","1","Town","Police","1992","Police 4 x 4",1,62,,4.75,,"True","6533-1","",""
3393,"6534","1","Town","Leisure","1992","Beach Bandit",1,44,,4.75,,"True","6534-1","",""
3394,"6535","1","Town","Construction","1995","Dumper",1,42,,4.5,,"True","6535-1","",""
3395,"6536","1","Town","Flight","1993","Aero Hawk",1,48,,4.5,,"True","6536-1","",""
3396,"6537","1","Town","Boats","1994","Hydro Racer",1,50,,4.5,,"True","6537-1","",""
3397,"6538","1","Town","Vehicles","1994","Rebel Roadster",1,57,,4.5,,"True","6538-1","",""
3398,"6539","1","Town","Racing","1993","Victory Cup Racers",4,458,,42,,"True","6539-1","",""
3399,"6540","1","Town","Police","1991","Pier Police",4,352,,44,,"True","6540-1","","042884065409"
3400,"6541","1","Town","Boats","1991","Intercoastal Seaport",5,545,,63.75,,"True","6541-1","5702010965410",""
3401,"6542","1","Town","Boats","1991","Launch & Load Seaport",7,1080,,,,"True","6542-1","",""
3402,"6543","1","Town","Boats","1994","Sail N' Fly Marina",7,709,,85,,"True","6543-1","",""
3403,"6544","1","Town","Launch Command","1995","Shuttle Transcon 2",3,342,,38.5,,"True","6544-1","","042884065447"
3404,"6545","1","Town","Police","1996","Search N' Rescue",3,286,,26.5,,"True","6545-1","",""
3405,"6546","1","Town","Racing","1996","Slick Racer",1,39,,4,,"True","6546-1","",""
3406,"6547","1","Town","Paradisa","1997","Fun Fair",5,193,,27.5,,"True","6547-1","",""
3407,"6548","1","Town","Shops and Services","1997","Octan Gas Station",3,125,,24,,"True","6548-1","",""
3408,"6549","1","Town","Vehicles","1997","Roadblock Runners",4,183,,30,,"True","6549-1","",""
3409,"6550","1","Town","Vehicles","1997","Outback Racer",1,49,,4,,"True","6550-1","",""
3410,"6551","1","Town","Racing","1992","Checkered Flag 500",6,193,,26.5,,"True","6551-1","",""
3411,"6552","1","Town","Leisure","1993","Rocky River Retreat",2,241,,29.75,,"True","6552-1","",""
3412,"6553","1","Town","Vehicles","1997","Crisis News Crew",3,136,,12,,"True","6553-1","",""
3415,"6554","1","Town","Fire","1997","Blaze Brigade",4,255,,44,,"True","6554-1","",""
3416,"6555","1","Town","Divers","1997","Sea Hunter",1,30,,4.5,,"True","6555-1","","042884065553"
3417,"6556","1","Town","Divers","1997","Scuba Squad",2,77,,8.75,,"True","6556-1","","042884065560"
3418,"6557","1","Town","Divers","1997","Treasure Hunters",3,150,,22,,"True","6557-1","5702010965571",""
3419,"6558","1","Town","Divers","1997","Shark Cage Cove",3,187,,30,,"True","6558-1","",""
3420,"6559","1","Town","Divers","1997","Deep Sea Bounty",5,348,,44,,"True","6559-1","",""
3421,"6560","1","Town","Divers","1997","Diving Expedition Explorer",7,471,,79,,"True","6560-1","",""
3422,"6561","1","Town","Vehicles","1994","Hot Rod Club",3,237,,26.5,,"True","6561-1","","042884065614"
3423,"6562","1","Town","Shops and Services","1995","Gas Stop Shop",3,221,,24.5,,"True","6562-1","",""
3424,"6563","1","Town","Leisure","1996","Gator Landing",3,233,,27.5,,"True","6563-1","",""
3425,"6564","1","Town","Maintenance","1997","Recycle Truck",1,35,,7.25,,"True","6564-1","",""
3426,"6565","1","Town","Construction","1997","Construction Crew",3,78,,16.5,,"True","6565-1","",""
3427,"6566","1","Town","Shops and Services","1997","Bank",2,99,,15,,"True","6566-1","",""
3428,"6567","1","Town","Extreme Team","1998","Speed Splash",1,29,,3,,"True","6567-1","",""
3429,"6568","1","Town","Extreme Team","1998","Drag Race Rally",4,292,,30,,"True","6568-1","",""
3430,"6569","1","Town","Bonus/Value Pack","2000","Polar Explorer",,78,,10,,"True","6569-1","",""
6584,"6570","1","Town","Arctic","2000","{snowmobile}",,,,,,"True","6570-1","",""
3431,"6571","1","Town","Fire","1994","Flame Fighters",4,428,,55,,"True","6571-1","",""
3432,"6572","1","Town","Extreme Team","1998","Wind Runners",2,52,,6,,"True","6572-1","",""
3433,"6573","1","Town","Arctic","2000","Arctic Expedition",2,121,,15,,"True","6573-1","",""
3434,"6575","1","Town","Arctic","2000","Polar Base",6,441,,60,,"True","6575-1","",""
6585,"6576","1","Town","Arctic","2000","{sledge}",,,,,,"True","6576-1","",""
3435,"6577","1","Town","Arctic","2000","Snow Scooter",1,21,,2,,"True","6577-1","",""
3436,"6578","1","Town","Arctic","2000","Polar Explorer",1,22,,,,"True","6578-1","",""
3437,"6579","1","Town","Arctic","2000","Ice Surfer",1,43,,5,,"True","6579-1","","042884065799"
3438,"6580","1","Town","Extreme Team","1998","Land Jet 7",2,109,,12,,"True","6580-1","",""
3439,"6581","1","Town","Construction","1996","Dig 'N' Dump",2,127,,13.25,,"True","6581-1","",""
3440,"6582","1","Town","Extreme Team","1998","Daredevil Flight Squad",3,287,,30,,"True","6582-1","",""
3441,"6584","1","Town","Extreme Team","1998","Extreme Team Challenge",4,350,,50,,"True","6584-1","",""
3442,"6585","1","Town","Extreme Team","1998","Hang-Glider",1,19,,2.5,,"True","6585-1","",""
3443,"6586","1","Town","Arctic","2000","Polar Scout",1,56,,,,"True","6586-1","",""
3444,"6589","1","Town","Extreme Team","1998","Radical Racer",1,82,,10,,"True","6589-1","",""
3445,"6590","1","Town","Leisure","1988","Vacation Camper",2,116,,,,"True","6590-1","",""
3446,"6591","1","Town","Racing","1989","Nitro-Dragsters",2,143,,12,,"True","6591-1","",""
3447,"6592","1","Town","Leisure","1990","Vacation Hideaway",2,111,,,,"True","6592-1","5702010965922",""
3448,"6593","1","Town","Fire","1991","Blaze Battler",1,126,,,,"True","6593-1","",""
3449,"6594","1","Town","Vehicles","1992","Gas Transit",1,124,,13.25,,"True","6594-1","",""
3450,"6595","1","Town","Leisure","1993","Surf Shack",3,93,,,,"True","6595-1","",""
3451,"6596","1","Town","Boats","1995","Wave Master",1,134,,12,,"True","6596-1","",""
3452,"6597","1","Town","Flight","1994","Century Skyway",12,894,,109,,"True","6597-1","",""
3453,"6598","1","Town","Police","1996","Metro PD Station",8,552,,66,,"True","6598-1","",""
3454,"6599","1","Town","Divers","1997","Shark Attack",2,58,,10,,"True","6599-1","","042884065997"
3455,"6600","1","Town","Classic","1981","Police Patrol",1,28,,,,"True","6600-1","",""
3456,"6600","2","Town","City","2000","Highway Construction",5,317,,80,,"True","6600-2","",""
3457,"6601","1","Town","Leisure","1984","Ice Cream Cart",1,30,,,,"True","6601-1","",""
3459,"6602","1","Town","Classic","1981","Fire Unit I",1,29,,,,"True","6602-2","",""
3458,"6602","2","Town","Race","2000","Scorpion Buggy",1,78,,10,,"True","6602-1","",""
3460,"6603","1","Town","Construction","1985","Shovel Truck",1,27,,,,"True","6603-1","",""
3461,"6604","1","Town","Racing","1985","Formula 1 Racer",1,31,,,,"True","6604-1","",""
3462,"6605","1","Town","Racing","1984","Road Racer",1,20,,,,"True","6605-1","",""
3463,"6606","1","Town","Maintenance","1983","Road Repair Set",1,27,,,,"True","6606-1","",""
3464,"6607","1","Town","Maintenance","1982","Service Truck",1,25,,,,"True","6607-1","",""
3465,"6608","1","Town","Maintenance","1982","Tractor",1,21,,,,"True","6608-1","",""
3466,"6609","1","Town","Racing","1980","Race Car",1,17,,,,"True","6609-1","",""
3467,"6610","1","Town","Shops and Services","1981","Gas Pumps",1,29,,,,"True","6610-1","",""
3468,"6611","1","Town","Fire","1981","Fire Chief's Car",1,20,,,,"True","6611-1","",""
3469,"6612","1","Town","Fire","1986","Fire Chief's Car",1,29,,,,"True","6612-1","",""
3470,"6613","1","Town","Shops and Services","1986","Telephone Booth",1,24,,,,"True","6613-1","",""
3471,"6614","1","Town","Launch Command","1995","Launch Evac 1",1,122,,9.25,,"True","6614-1","",""
3472,"6615","1","Town","Flight","1996","Eagle Stunt Flyer",1,76,,8.75,,"True","6615-1","",""
3473,"6616","1","Town","Race","2000","Rocket Dragster",1,147,,20,,"True","6616-1","",""
3474,"6617","1","Town","Race","2000","Tough Truck Rally",4,383,,50,,"True","6617-1","",""
3475,"6618","1","Town","Race","2000","Blue Racer",1,23,,,,"True","6618-1","",""
3476,"6619","1","Town","Race","2000","Red Four Wheel Driver",1,20,,2,,"True","6619-1","",""
5482,"6620","1","Bionicle","Accessories","2006","Ultimate Accessory Set",,500,14.99,,,"True","6620-1","",""
3477,"6621","1","Town","Fire","1984","Fire Truck",1,38,,,,"True","6621-1","",""
3478,"6622","1","Town","Postal","1984","Mailman on Motorcycle",2,26,,,,"True","6622-1","",""
3479,"6623","1","Town","Police","1983","Police Car",1,39,,,,"True","6623-1","",""
3480,"6624","1","Town","Vehicles","1983","Delivery Van",1,41,,,,"True","6624-1","",""
3481,"6625","1","Town","Police","1996","Speed Trackers",2,62,,6.75,,"True","6625-1","",""
3483,"6626","1","Town","Classic","1981","Rescue Helicopter",,37,,,,"True","6626-2","",""
3482,"6626","2","Town","Arctic","2000","Snow Scooter",1,20,,2,,"True","6626-1","",""
3484,"6627","1","Town","Vehicles","1980","Convertible",1,37,,,,"True","6627-1","",""
3485,"6628","1","Town","Vehicles","1981","Shell Tow Truck",,38,,,,"True","6628-1","",""
4925,"6628","2","Town","Accessories","1984","Construction Workers",4,20,,,,"True","6628-2","",""
3486,"6629","1","Town","Medical","1981","Ambulance",1,39,,,,"True","6629-1","",""
3487,"6630","1","Town","Construction","1981","Bucket Loader",1,34,,,,"True","6630-1","",""
3488,"6631","1","Town","Construction","1985","Steam Shovel",1,47,,,,"True","6631-1","",""
3489,"6632","1","Town","Police","1986","Tactical Patrol Truck",1,44,,,,"True","6632-1","",""
3490,"6633","1","Town","Vehicles","1985","Family Car",1,46,,,,"True","6633-1","",""
3491,"6634","1","Town","Racing","1986","Stock Car",1,47,,,,"True","6634-1","",""
3492,"6636","1","Town","Police","2002","Command Post Central",7,273,,65,,"True","6636-1","",""
